# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
2000000 84 10944.000000000004
  70 0.835366 129.385 278.964
  71 0.847561 134.749 277.759
  72 0.859756 142.126 278.05
  73 0.871951 141.883 278.195
  74 0.884146 123.66 278.273
  75 0.896341 128.42 278.36
  76 0.908537 141.622 74.0217
  77 0.920732 152 0
  78 0.932927 133 0
  79 0.945122 125 0
  80 0.957317 129 0
  81 0.969512 120 0
  82 0.981707 120 0
  83 0.993902 131 0
  84 1.0061 0 0
16000000 84 10943.999999999998
  1 -0.00609756 0 0
  2 0.00609756 143 0
  3 0.0182927 139 0
  4 0.0304878 145 0
  5 0.0426829 128 0
  6 0.054878 132 0
  7 0.0670732 123 0
  8 0.0792683 130.014 0.032193
  9 0.0914634 130.583 108.602
  10 0.103659 136.726 318.213
  11 0.115854 128.029 317.99
  12 0.128049 144.174 318.01
  13 0.140244 149.454 317.968
  14 0.152439 130.021 317.309
  15 0.164634 132.3 315.97
  16 0.176829 124.76 314.626
  17 0.189024 148.798 314.434
  18 0.20122 133.262 314.459
  19 0.213415 125.192 314.4
  20 0.22561 117.941 313.326
  21 0.237805 134.193 313.301
  22 0.25 134.391 312.974
  23 0.262195 127.603 312.125
  24 0.27439 129.353 310.839
  25 0.286585 130.334 309.065
  26 0.29878 127.101 308.107
  27 0.310976 131.468 307.056
  28 0.323171 126.613 306.038
  29 0.335366 138.181 306.034
  30 0.347561 145.574 306.086
  31 0.359756 138.317 305.084
  32 0.371951 130.336 304.966
  33 0.384146 134.693 304.125
  34 0.396341 135.9 303.791
  35 0.408537 127.362 301.387
  36 0.420732 121.552 300.606
  37 0.432927 131.976 300.33
  38 0.445122 128.592 299.634
  39 0.457317 138.1 298.634
  40 0.469512 142.978 297.497
  41 0.481707 138.568 297.328
  42 0.493902 136.296 297.901
  43 0.506098 133.336 297.078
  44 0.518293 130.292 296.519
  45 0.530488 135.042 294.641
  46 0.542683 135.864 294.036
